hanzi,pinyin,english
獎勵,jiang3 li4,"to reward, reward (as encouragement),"
膝蓋,xi1 gai4,"knee,"
引擎,yin3 qing2,"engine (loanword), CL:臺|台[tái],"
宰,zai3,"to slaughter livestock, to govern or rule, to cheat customers, Imperial official in dynastic China,"
賊,zei2,"thief, traitor, wily, deceitful, evil, extremely,"
種族,zhong3 zu2,"race, ethnicity,"
當心,dang1 xin1,"to take care, to look out,"
字母,zi4 mu3,"letter (of the alphabet), CL:個|个[gè],"
樂趣,le4 qu4,"delight, pleasure, joy,"
虐待,nu:e4 dai4,"to mistreat, to maltreat, to abuse, mistreatment, maltreatment,"
舔,tian3,"to lick, to lap,"
薪水,xin1 shui3,"salary, wage,"
理智,li3 zhi4,"reason, intellect, rationality,"
封鎖,feng1 suo3,"to blockade, to seal off,"
訴訟,su4 song4,"lawsuit,"
基因,ji1 yin1,"gene (loanword),"
職位,zhi2 wei4,"post, office, position,"
可惡,ke3 wu4,"repulsive, vile, hateful, abominable,"
確切,que4 qie4,"definite, exact, precise,"
扎,zha1,"to prick, to run or stick (a needle etc) into, jug (a classifier for liquids such as beer),"
支援,zhi1 yuan2,"to provide assistance, to support, to back,"
評論,ping2 lun4,"to comment on, to discuss, comment, commentary, CL:篇[piān],"
基金,ji1 jin1,"fund,"
投降,tou2 xiang2,"to surrender, surrender,"
靈感,ling2 gan3,"inspiration, insight, a burst of creativity in scientific or artistic endeavor,"
漫畫,man4 hua4,"caricature, cartoon, Japanese manga,"
角落,jiao3 luo4,"nook, corner,"
預言,yu4 yan2,"to predict, prophecy,"
策略,ce4 lu:e4,"tactics, to be tactful,"
領先,ling3 xian1,"to lead, to be in front,"
裝備,zhuang1 bei4,"equipment, to equip, to outfit,"
流氓,liu2 mang2,"rogue, hoodlum, gangster, immoral behavior,"
聲明,sheng1 ming2,"statement, declaration, CL:項|项,份[fèn],"
排除,pai2 chu2,"to eliminate, to get rid of, to remove,"
成交,cheng2 jiao1,"to complete a contract, to reach a deal,"
消防,xiao1 fang2,"fire-fighting, fire control,"
吼,hou3,"roar or howl of an animal, bellow of rage,"
發動,fa1 dong4,"to start, to launch, to unleash, to mobilize, to arouse,"
集團,ji2 tuan2,"group, bloc, corporation, conglomerate,"
協助,xie2 zhu4,"to provide assistance, to aid,"
動力,dong4 li4,"power, motion, propulsion, force,"
陰謀,yin1 mou2,"plot, conspiracy,"
性命,xing4 ming4,"life,"
協會,xie2 hui4,"an association, a society, CL:個|个,家[jiā],"
喉嚨,hou2 long2,"throat, larynx,"
爆發,bao4 fa1,"to break out, to erupt, to explode, to burst out,"
陷害,xian4 hai4,"to entrap, to set up, to frame (up), to make false charges against,"
荒唐,huang1 tang2,"beyond belief, preposterous, absurd, intemperate, dissipated,"
隨意,sui2 yi4,"as one wishes, according to one's wishes, at will, voluntary, conscious,"
策劃,ce4 hua4,"to plot, to scheme, to bring about, to engineer, planning, producer, planner,"
彌補,mi2 bu3,"to complement, to make up for a deficiency,"
黨,Dang3,"party, association, club, society, CL:個|个[gè],"
來源,lai2 yuan2,"source (of information etc), origin,"
判決,pan4 jue2,"judgment (by a court of law), to pass judgment on, to sentence,"
公正,gong1 zheng4,"just, fair, equitable,"
依靠,yi1 kao4,"to rely on sth (for support etc), to depend on,"
衝突,chong1 tu1,"conflict, to conflict, clash of opposing forces, collision (of interests), contention,"
犬,quan3,"dog,"
化妝,hua4 zhuang1,"to put on makeup,"
指示,zhi3 shi4,"to point out, to indicate, to instruct, directives, instructions, CL:個|个[gè],"
卑鄙,bei1 bi3,"base, mean, contemptible, despicable,"
端,duan1,"end, extremity, item, port, to hold sth level with both hands, to carry, regular,"
人士,ren2 shi4,"person, figure, public figure,"
脆弱,cui4 ruo4,"weak, frail,"
侵犯,qin1 fan4,"to infringe on, to encroach on, to violate,"
器官,qi4 guan1,"organ (part of body tissue), apparatus,"
崇拜,chong2 bai4,"to worship, adoration,"
考驗,kao3 yan4,"to test, to put to the test,"
時裝,shi2 zhuang1,"the latest fashion in clothes, fashionable,"
魔術,mo2 shu4,"magic,"
慾望,yu4 wang4,"desire, longing, appetite, craving,"
實力,shi2 li4,"strength,"
賭博,du3 bo2,"to gamble,"
處境,chu3 jing4,"plight, unfavorable situation,"
繼承,ji4 cheng2,"to inherit, to carry on, to succeed,"
染,ran3,"to dye, to catch (a disease), to acquire (bad habits etc), to contaminate, to add colour washes to a painting,"
隔離,ge2 li2,"to separate, to isolate,"
無能為力,wu2 neng2 wei2 li4,"impotent (idiom), powerless, helpless,"
領袖,ling3 xiu4,"leader, CL:個|个,位,名[míng],"
掙扎,zheng1 zha2,"to struggle,"
難堪,nan2 kan1,"hard to take, embarrassed,"
許可,xu3 ke3,"to allow, to permit,"
匯報,hui4 bao4,"to report, to give an account of, report,"
過度,guo4 du4,"excessive, over-, excess, going too far, extravagant, intemperate, overdue,"
包圍,bao1 wei2,"to surround, to encircle, to hem in,"
提示,ti2 shi4,"to prompt, to present, to point out, to draw attention to sth, hint, brief, cue,"
混合,hun4 he2,"to mix, to blend,"
武裝,wu3 zhuang1,"arms, equipment, to arm, military, armed (forces),"
鬥爭,dou4 zheng1,"a struggle, fight, battle,"
指甲,zhi3 jia5,"fingernail,"
足以,zu2 yi3,"sufficient to..., so much so that, so that,"
隱私,yin3 si1,"secrets, private business, privacy,"
口音,kou3 yin1,"oral speech sounds (linguistics),"
旋轉,xuan2 zhuan3,"to rotate, to revolve, to spin, to whirl,"
穿越,chuan1 yue4,"to pass through, to cross, to overcome,"
回顧,hui2 gu4,"to look back, to review,"
扁,Pian1,"flat, (old form of character 匾, horizontal tablet with inscription),"
歡樂,huan1 le4,"gaiety, gladness, glee, merriment, pleasure, happy, joyous, gay,"
撫養,fu3 yang3,"to foster, to bring up, to raise,"
環節,huan2 jie2,"round segment, segment (of annelid worms), connection, link, sector, annular ring,"
殘酷,can2 ku4,"cruel, cruelty,"
使命,shi3 ming4,"mission (diplomatic or other), set task,"
場合,chang3 he2,"situation, occasion,"
酒精,jiu3 jing1,"alcohol, ethanol CH3CH2OH, ethyl alcohol, also written 乙醇, grain alcohol,"
模型,mo2 xing2,"model, mould, matrix, pattern,"
解除,jie3 chu2,"to remove, to sack, to get rid of, to relieve (sb of their duties), to free, to lift (an embargo), to rescind (an agreement),"
評估,ping2 gu1,"to evaluate, to assess, assessment, evaluation,"
典型,dian3 xing2,"model, typical case, archetype, typical, representative,"
給予,ji3 yu3,"to accord, to give, to show (respect),"
偽造,wei3 zao4,"to forge, to fake, to counterfeit,"
掩蓋,yan3 gai4,"to conceal, to hide behind, to cover up,"
團結,tuan2 jie2,"a rally, to hold a rally, to join forces,"
